S1,S3
DEFA6,6.48809364971424e-05,310.24280871264
HIP1,551.088739002449,1.23273463001908e-16
SP140,194.771640557471,283.789879405409
STEAP4,338.730576116479,8.19924379168538e-13
HSPA6,205.743271256004,574.745780891312
CFI,401.651402684109,3.20222320071159e-11
MYO7A,262.705918392155,79.5296172051784
CEP72,205.924824752462,240.560692235529
MYOM3,101.016215216969,223.808466241295
MANEAL,223.851206000403,913.31803850212
MARK1,259.23980788652,355.094627886003
ABCB9,212.921660749104,1134.31017484367
ETV7,242.028888479585,1208.25793761791
TFPI,268.538240126805,320.168862359575
POMC,174.799670069099,514.560770083397
IRF5,329.883580537361,873.510532589823
MATN2,369.113066038381,7.98129686595215e-09
CRMP1,285.733418297955,463.084668968292
ARG2,333.154321355425,4.93738890698231e-05
DTX1,99.9204260751089,526.841883097375
HSF4,142.051218907979,551.749463354517
FAM171B,285.448576724511,2.31126780523847e-16
RICH2,461.374026547202,3.88938315789192
EPHB2,219.662251467326,457.838485782044
FAM71E1,308.393515944364,1326.20824023279
MYH11,281.904081558256,359.459662366221
NLRP2,255.898988810159,2.49157762510913
ADAMTS5,358.377645992924,1.20031318596357e-19
NPR1,486.854165064925,93.3229115444541
PLAG1,492.440836228587,1.96179830106119e-08
TREM2,303.806029065872,572.591123955034
IRAK3,386.869741679827,183.365317521848
CPNE8,570.071823336916,1.76440453827581e-15
CERCAM,342.673912694319,506.838200923889
TMEM119,328.806163288315,350.568234916887
MRO,131.514726404177,37.7963229548916
FAM70A,368.472534839774,5.84136211531511e-05
SCNN1B,378.410274696935,130.914825866333
MCOLN2,185.67027017885,311.158403547814
CYorf15B,70.8985323874725,169.660546711241
FAM110B,415.141173176595,0.0072828640525776
RAPGEF4,400.329883882983,1.01064944477193e-13
LPAR1,580.308453668798,6.99878979053424e-12
SPRY2,552.694774427338,9.95978941836087e-15
MAPK8IP1,214.287242459096,899.617168037578
KIAA1530,314.53704623018,141.039577632638
IGDCC4,273.341143116354,2.10122596090111e-05
FBLN7,410.790894506026,218.945576062864
GZMM,36.6725353468782,1142.28398253208
LRRK2,377.817627673184,3.02708322660234e-12
KIF14,47.5632484881466,4.28098990200777e-13
STON2,406.482473740807,267.830667924737
RBP7,236.019693915817,730.738032156321
RNF165,482.621303252899,1.00405694737409e-15
TRIM56,504.158094045529,8.3686397974113e-18
KLF15,361.104468066586,1.94319843264149e-11
FZD5,497.471007583641,9.13350551176796e-11
TDGF3,408.527127227754,5.78560256069407e-17
MALL,209.793025828696,730.553741081876
LOC440957,67.7309313577159,1716.10683672544
KLRK1,320.031046561546,278.643551620232
NUAK1,491.75253290144,8.21433582968683e-06
SERPINI1,544.28639379442,8.68519379491256e-05
LATS2,524.658515613731,7.34746235708209e-17
ODZ1,1.25144363113857e-07,4.61787821333527e-05
GNAL,436.342592478626,2.33069539538715e-15
STXBP6,441.934550392856,86.4741415650883
TLR2,500.23576830433,0.0408945376445703
TEAD2,503.276290094466,11.3639862778197
COBL,465.140270444062,4.15402729868687e-05
RNF208,130.277786038995,1262.37173288925
TRNP1,235.215725318285,420.134760517892
HOOK1,543.927046354374,3.64900342226678e-06
DDAH1,419.827665784981,5.34737307323989
CCL14,202.817889312589,878.961689395965
PTPRN2,476.676114553274,25.1753613465159
MAML2,464.746723671241,6.02582103926926e-18
MAGI1,569.277546951954,4.0450692361042e-13
NUAK2,267.047870791291,518.471262087041
SOX13,330.75417595696,341.070737624066
ANKRD43,421.183447988817,0.00179780303186698
TBC1D24,258.323927658231,669.491840777217
LRRC32,360.620170395257,447.055646551201
SPIRE2,178.819303802416,801.18529970046
DPY19L3,487.268927068007,5.92206274512166e-20
ZBTB10,545.296582103857,3.64607052723708e-16
CCDC24,154.448630564848,1494.49847487763
SLC44A3,212.777531962737,211.240371159996
C5orf41,533.440223433048,4.03440710040912e-17
TMEM200A,475.839287792688,2.89613915229545e-05
C17orf58,382.967388036984,351.37885509392
ZNF192,439.899593863377,3.34530974240021e-22
RNF207,433.2658975303,336.605229381208
C14orf23,347.061370268412,539.498119359192
STK32B,6.98508865076611e-15,124.231678571659
ASXL2,445.251237195075,3.60589387619963e-18
GPR116,552.282716786412,0.00187459589235976
MEIS3P1,547.683955171816,6.08716743530177e-06
CENPA,8.15464411697172e-10,284.26762562104
DOK3,226.178265681937,602.116227218517
TBC1D8,463.923352190903,0.000145536594541249
MYCN,409.257845048549,8.37981667026544e-07
INTU,472.997680615351,1.33877228083988e-14
CORO6,266.250724249001,67.3117586673878
PTRH1,145.5234633926,1665.90534467423
EPB41L5,509.161772981668,4.28021195282379e-16
NACAD,430.976509160586,129.440128213373
ELK3,460.601787738277,2.43269558978961e-19
JAM2,326.375282795275,0.403585895491507
FAM131B,411.772967390905,1.55889220420543
MAN2A1,332.898194502633,2.90836830369974e-18
GJB5,294.514799313359,826.693630256023
ZNF229,489.934197706531,1.70273453114082e-12
OPLAH,441.134931917465,548.932006968534
ACVRL1,329.28377681518,1391.98015845794
SMPDL3A,369.832071712189,83.6639296512828
CNTNAP3,409.477197397691,5.91970597514368e-13
RTN4RL1,325.161336916307,313.225936416648
CD28,42.0583393891284,3.57288934212115
LOC654433,261.270064247052,222.931083335395
MAP9,571.425077001924,0.0117885788726409
FAM64A,9.37400232017574e-08,260.922654122329
MFI2,515.12834208148,0.00779630304403161
RAMP3,285.723252020036,1046.73573506376
SPIRE1,367.02315318817,377.134676495611
GBP3,376.814960538031,382.792679030444
FJX1,474.743789366563,93.8869662223912
C15orf41,353.918374686232,725.494942458297
RND2,224.802532588926,708.43216482339
APOBEC3C,334.30899805402,225.809735517096
C22orf36,342.53131758198,774.506665606015
SDSL,168.065569892991,1312.86725752952
NPM2,309.643885545478,666.579651360074
ALDOC,189.854407222712,775.203662787444
PPTC7,402.280868625144,9.32354402978196e-15
FAM72B,0.00498249418229637,1.87744764152298
ANPEP,231.072694413664,878.962778713254
C19orf20,97.9791726444927,1280.15757033047
TMEM51,390.33389026302,395.220381851085
HRSP12,259.56726704541,479.894136216808
MAPK11,293.749591631451,1138.66307637518
FAM164A,544.22154555714,1.29294255605188e-14
BTN2A2,390.091558835147,156.331536286977
FGD2,342.103069310644,100.00269615203
PLA2G4C,255.535541237592,970.980490307244
PPP4R2,430.350253493733,2.59313100713041e-18
DPPA4,2.19749097423245e-13,4.06899685434037
TMEM26,319.411166793196,0.000238296446116644
GMCL1,474.822221877274,1.17061305606753e-16
PAFAH1B2,499.355727458748,1.45345343156526e-16
ZNF462,478.097603287123,1.97086227597391e-12
COPZ2,274.07428843843,590.234591745403
RNF169,520.450223218469,1.04646362643408e-16
KLF11,569.753263611641,0.741427974124521
MATK,146.367326521166,894.765507770829
SAMD10,205.757690205602,1417.08668618723
HSPA4L,450.544179892379,4.26360416490395e-10
ASAP3,529.401352262344,25.4484988688759
PLEKHA4,265.43193535155,264.802584976337
