S8,S3,S5,S7,S1,S9,S2,ITTH
TCGA.VS.A8Q8.01,4.49805810622165e-06,0.0263721845525844,8.67144123074383e-06,0.236900493420354,0.233330226666861,4.19721363828783e-06,0.503379728647225,0.576767508385768
TCGA.IR.A3LH.01,0.140619000661985,0.000901191641688033,0.221819908440778,0.0124125747895349,0.00355560971833566,0.000682656097089244,0.620009058650589,0.509834248397937
TCGA.DR.A0ZM.01,0.206202116662231,3.3803085625822e-05,2.82871742772623e-05,0.478711765140206,1.71969073966839e-05,0.315004706018582,2.12501168127845e-06,0.535976608613604
TCGA.HG.A2PA.01,0.0865427146035712,0.26090500288122,0.09220266898466,0.0026951703185344,0.191804633682364,0.280678578139552,0.0851712313900983,0.863960224003728
TCGA.ZJ.AB0H.01,0.29418138420034,0.00277078712646069,0.158968572684898,0.0356962771636521,1.21396096659281e-05,0.508370360065407,4.79149576972699e-07,0.581558409823792
TCGA.C5.A7X5.01,2.27021476660847e-05,0.025302063741657,0.148984317434911,0.0537959513525459,0.000452265289131287,0.432756353457924,0.338686346576165,0.651001639645585
TCGA.UC.A7PF.01,0.105741272117496,1.94355400998373e-06,0.126592753070846,0.0314720695731766,0.00128464114680859,0.697594400928715,0.0373129196089475,0.509046998249404
TCGA.EA.A43B.01,0.0318504055523401,1.67540382413332e-09,1.25765986099384e-09,0.19721862505608,0.0540660799666424,1.57687681102675e-09,0.716864884914997,0.424641309448563
TCGA.FU.A770.01,0.797862859693976,5.34690864166404e-05,1.06755150350986e-05,0.0574239800251007,0.0478760387551841,5.62326473781609e-06,0.0967673536595497,0.368188839034721
TCGA.VS.A9UO.01,0.11304636918657,1.74455109612688e-05,0.143515541872044,4.67678407334218e-06,0.719396249427752,0.0239674876846201,5.22295339792765e-05,0.437923791735443
TCGA.ZJ.AAX8.01,0.127380444039367,0.0196427472069117,2.72334458902787e-08,0.00490128079036004,0.00688004298957869,0.793530489589933,0.0476649681504035,0.374417668102104
TCGA.LP.A4AU.01,4.20452778023686e-05,0.000158233566860689,0.324430657301063,0.0298664770739956,0.126754691200849,0.255991625690772,0.262756269888657,0.736769146898978
TCGA.VS.A959.01,0.542647317000743,9.95100695282057e-06,0.125277097290411,0.0209970462155069,0.0407611031707386,0.270303111676792,4.37363885609484e-06,0.59472694190822
TCGA.XS.A8TJ.01,0.415313700110366,0.0562830402577752,0.0177024708369499,0.00242967979985147,0.0030117875840118,0.50517348233126,8.58390797861343e-05,0.501656344635775
TCGA.EK.A2PL.01,0.314673216570039,0.00513080901313016,0.154120071828504,0.0629448009970943,0.000231825778058864,0.295931596938584,0.166967678874589,0.778198717649287
TCGA.DR.A0ZL.01,0.252002120513927,0.0225312982370009,0.238193700788942,0.0161564895271067,0.000422427874184603,0.401063897111646,0.0696300659471922,0.717618049793066
